"Product_Category","Product_Sub_Category","Prod_id"
"OFFICE SUPPLIES","STORAGE & ORGANIZATION","Prod_1"
"OFFICE SUPPLIES","APPLIANCES","Prod_2"
"OFFICE SUPPLIES","BINDERS AND BINDER ACCESSORIES","Prod_3"
"TECHNOLOGY","TELEPHONES AND COMMUNICATION","Prod_4"
"FURNITURE","OFFICE FURNISHINGS","Prod_5"
"OFFICE SUPPLIES","PAPER","Prod_6"
"OFFICE SUPPLIES","RUBBER BANDS","Prod_7"
"TECHNOLOGY","COMPUTER PERIPHERALS","Prod_8"
"OFFICE SUPPLIES","ENVELOPES","Prod_9"
"FURNITURE","BOOKCASES","Prod_10"
"FURNITURE","TABLES","Prod_11"
"OFFICE SUPPLIES","LABELS","Prod_12"
"OFFICE SUPPLIES","PENS & ART SUPPLIES","Prod_13"
"TECHNOLOGY","COPIERS AND FAX","Prod_14"
"FURNITURE","CHAIRS & CHAIRMATS","Prod_15"
"OFFICE SUPPLIES","SCISSORS, RULERS AND TRIMMERS","Prod_16"
"TECHNOLOGY","OFFICE MACHINES","Prod_17"
